listing,Van Leeuwen,Gelateria Gentile,OddFellows,Ample Hills,Emack & Bolio's,average,min,max,price per night,room type,super host status,instant book feature,host-listings count,latitude,longitude,review scores rating,accomodates,cancellation
14671123,2.6,2.4,2.5,2.7,2.9,2.62,2.4,2.9,33,Private room,n,n,2,40.69095609,-73.94373757,,1,flexible
16368233,2.1,2.4,2.5,2.1,2.4,2.3,2.1,2.5,45,Private room,n,y,1,40.68634709,-73.95535039,100,2,flexible
14300957,2.1,2.3,2.5,2.2,2.4,2.3,2.1,2.5,75,Private room,n,n,2,40.68685171,-73.95449147,100,1,flexible
3490317,3.8,3.1,3.2,3.8,4,3.58,3.1,4,195,Entire home/apt,y,n,1,40.68884733,-73.92354344,97,7,strict
5328103,3.1,2.8,2.9,3.1,3.4,3.06,2.8,3.4,42,Private room,n,n,2,40.68828477,-73.93566642,84,2,moderate
4280053,2.2,2.7,2.8,2.2,2.4,2.46,2.2,2.8,75,Private room,y,n,3,40.68229976,-73.9544524,96,2,strict
6765002,2.6,2.2,2.3,2.7,2.8,2.52,2.2,2.8,50,Private room,n,n,1,40.69339822,-73.94747517,80,2,moderate
7125463,1.8,2.1,2.3,1.8,2,2,1.8,2.3,54,Private room,n,n,1,40.68899747,-73.95964179,90,2,flexible
13586679,3.2,3.1,3.2,3.2,3.5,3.24,3.1,3.5,70,Private room,n,n,2,40.68404858,-73.93456698,,2,flexible
4605840,2.3,2.4,2.5,2.3,2.6,2.42,2.3,2.6,100,Private room,n,n,1,40.68853105,-73.94980347,95,2,moderate
6574353,2.2,2.9,3,2.2,2.6,2.58,2.2,3,85,Private room,n,n,1,40.67922396,-73.95383225,,2,flexible
11227612,3.2,2,2.1,3.5,3.1,2.78,2,3.5,47,Private room,n,n,1,40.69873869,-73.93870805,,1,moderate
10438662,2.6,2.1,2.2,2.7,2.7,2.46,2.1,2.7,75,Private room,n,n,1,40.69363275,-73.94805482,87,2,strict
1048190,1.9,2.3,2.4,1.9,2.1,2.12,1.9,2.4,139,Entire home/apt,n,n,1,40.68753194,-73.9585075,98,5,strict
15360687,2.9,3.1,3.2,2.9,3.1,3.04,2.9,3.2,95,Entire home/apt,n,n,1,40.6801417,-73.94047528,98,2,strict
3752035,2.1,2.2,2.4,2.1,2.3,2.22,2.1,2.4,180,Entire home/apt,y,n,1,40.6877209,-73.9548441,98,6,strict
8992714,3.6,3.2,3.3,3.6,3.9,3.52,3.2,3.9,51,Private room,n,n,1,40.68629537,-73.92634901,100,2,flexible
8861708,1.9,1.8,2,2.1,2,1.96,1.8,2.1,90,Private room,n,n,2,40.69296259,-73.96055027,,2,flexible
159380,2,1.9,2,2.1,2.1,2.02,1.9,2.1,90,Private room,n,n,4,40.69241412,-73.95869751,92,4,flexible
14859556,2.4,2.8,3,2.4,2.7,2.66,2.4,3,90,Private room,n,y,1,40.68148499,-73.95041408,93,2,moderate
6912211,2.1,2.5,2.7,2.1,2.4,2.36,2.1,2.7,122,Entire home/apt,n,n,2,40.68401751,-73.95573092,96,4,moderate
8427002,2.6,2.1,2.2,2.8,2.7,2.48,2.1,2.8,75,Private room,n,n,1,40.69511066,-73.94734427,90,2,strict
5538798,2.9,2.6,2.7,3,3.2,2.88,2.6,3.2,84,Private room,n,n,1,40.69158292,-73.93823193,72,4,strict
2895511,4.2,3.6,3.7,4.2,4.4,4.02,3.6,4.4,95,Entire home/apt,n,n,2,40.68469806,-73.91623699,91,4,strict
4933387,0.2,3.4,3.5,0.7,1,1.76,0.2,3.5,150,Entire home/apt,n,n,2,40.6864715,-73.98740245,100,2,moderate
15775237,0.3,3.3,3.5,0.5,1.1,1.74,0.3,3.5,255,Entire home/apt,n,n,1,40.68500925,-73.98580906,100,3,strict
4795831,0.3,3.2,3.4,0.9,0.8,1.72,0.3,3.4,105,Entire home/apt,n,n,1,40.68880489,-73.98716989,100,2,strict
